"";"Date";"Team_home";"Team_away";"Final_H";"Final_A";"nb_matchs";"unique_teamgoal";"pdata";"pred"
"105";2019-04-20;"RC Strasbourg Alsace";"Montpellier Hérault SC";NA;NA;31;NA;0,3955448119768;0
"106";2019-04-19;"Olympique Lyonnais";"Angers SCO";NA;NA;31;NA;0,609886899928327;1
"107";2019-04-17;"FC Nantes";"Paris Saint-Germain";NA;NA;30;NA;0,321885444756994;0
"108";2019-04-14;"Montpellier Hérault SC";"Toulouse FC";NA;NA;31;NA;0,499277228378581;0
"109";2019-04-14;"Stade Rennais FC";"OGC Nice";NA;NA;31;NA;0,584241893112624;1
"110";2019-04-14;"AS Saint-Etienne";"Girondins de Bordeaux";NA;NA;31;NA;0,638893233784357;1
"111";2019-04-14;"LOSC";"Paris Saint-Germain";NA;NA;31;NA;0,621029039787135;1
"112";2019-04-13;"Olympique de Marseille";"Nîmes Olympique";NA;NA;31;NA;0,421865869766485;0
"113";2019-04-13;"SM Caen";"Angers SCO";NA;NA;31;NA;0,335324859573919;0
"114";2019-04-13;"AS Monaco";"Stade de Reims";NA;NA;31;NA;0,554744636347221;1
"115";2019-04-13;"RC Strasbourg Alsace";"EA Guingamp";NA;NA;31;NA;0,513474179786792;1
"116";2019-04-12;"Dijon FCO";"Amiens SC";NA;NA;31;NA;0,591194716141593;1
"117";2019-04-12;"FC Nantes";"Olympique Lyonnais";NA;NA;30;NA;0,212139088666406;0
"118";2019-01-15;"Angers SCO";"Girondins de Bordeaux";1;2;19;0;0,340130309559755;0
"119";2018-11-11;"AS Monaco";"Paris Saint-Germain";0;4;13;1;0,344808688106802;0
"120";2018-12-02;"Girondins de Bordeaux";"Paris Saint-Germain";2;2;15;0;0,404323316468685;0
"121";2019-01-13;"Toulouse FC";"RC Strasbourg Alsace";1;2;19;0;0,326529556407698;0
"122";2019-02-10;"OGC Nice";"Olympique Lyonnais";1;0;24;1;0,65894936524109;1
"123";2019-03-02;"Angers SCO";"AS Monaco";2;2;27;0;0,369217925337835;0
"124";2019-04-01;"AS Saint-Etienne";"Nîmes Olympique";2;1;30;0;0,445866265081547;0
"125";2018-11-24;"RC Strasbourg Alsace";"Nîmes Olympique";0;1;14;1;0,397289233141341;0
"126";2018-12-22;"RC Strasbourg Alsace";"OGC Nice";2;0;19;1;0,858135743059426;1
"127";2019-04-06;"Olympique Lyonnais";"Dijon FCO";1;3;31;0;0,736658179817653;1
"128";2018-12-01;"LOSC";"Olympique Lyonnais";2;2;15;0;0,125594860312991;0
"129";2018-12-22;"Paris Saint-Germain";"FC Nantes";1;0;17;1;0,603771630473502;1
"130";2019-04-05;"Girondins de Bordeaux";"Olympique de Marseille";2;0;31;1;0,334029432138046;0
"131";2018-12-08;"EA Guingamp";"Amiens SC";1;2;17;0;0,598989400963328;1
"132";2018-11-23;"Olympique Lyonnais";"AS Saint-Etienne";1;0;14;1;0,545732892456243;1
"133";2018-10-27;"LOSC";"SM Caen";1;0;11;1;0,430512269492546;0
"134";2019-02-22;"RC Strasbourg Alsace";"LOSC";1;1;26;0;0,292774676575191;0
"135";2018-12-01;"AS Monaco";"Montpellier Hérault SC";1;2;15;0;0,456233059851806;0
"136";2019-03-31;"Toulouse FC";"Paris Saint-Germain";0;1;30;1;0,439257453086016;0
"137";2019-01-23;"Nîmes Olympique";"Angers SCO";3;1;21;0;0,517676488608604;1
"138";2019-01-08;"FC Nantes";"Montpellier Hérault SC";2;0;18;1;0,583101942169636;1
"139";2019-03-15;"OGC Nice";"Toulouse FC";1;1;29;0;0,546358790479416;1
"140";2018-12-05;"Olympique Lyonnais";"Stade Rennais FC";0;2;16;1;0,272654013628395;0
"141";2019-02-13;"AS Saint-Etienne";"RC Strasbourg Alsace";2;1;24;0;0,293079036495188;0
"142";2019-02-08;"Dijon FCO";"Olympique de Marseille";1;2;23;0;0,411899936760603;0
"143";2019-03-03;"LOSC";"Dijon FCO";1;0;27;1;0,784324650748284;1
"144";2019-03-09;"Amiens SC";"Nîmes Olympique";2;1;28;0;0,316506092609426;0
"145";2018-11-02;"Paris Saint-Germain";"LOSC";2;1;12;0;0,216020577847683;0
"146";2019-03-09;"AS Monaco";"Girondins de Bordeaux";1;1;28;0;0,624148785899636;1
"147";2019-04-07;"Stade de Reims";"LOSC";1;1;31;0;0,190376093285235;0
"148";2018-10-27;"Amiens SC";"FC Nantes";1;2;11;0;0,281056108119948;0
"149";2019-01-12;"EA Guingamp";"AS Saint-Etienne";0;1;19;1;0,481769181367795;0
"150";2018-12-23;"Girondins de Bordeaux";"Amiens SC";1;1;17;0;0,49285888920672;0
"151";2018-11-04;"Montpellier Hérault SC";"Olympique de Marseille";3;0;12;1;0,271418599551629;0
"152";2019-03-16;"SM Caen";"AS Saint-Etienne";0;5;29;1;0,264456932894299;0
"153";2018-12-16;"Olympique Lyonnais";"AS Monaco";3;0;17;1;0,696500976370298;1
"154";2018-11-03;"Stade de Reims";"AS Monaco";1;0;12;1;0,233276987993823;0
